typed ident      	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
41 	HD 129502              	* mu. Vir                	PM*	220.76509509 -05.65820353  	 4.25 	 4.26 	 3.88 	 3.48 	 3.26 	F2V            	 193	   0
42 	HD 133640              	* i Boo                  	WU*	225.94706520 +47.65406188  	     ~	 5.41 	 4.76 	     ~	     ~	G0Vn           	 508	   0
43 	HD 139006              	* alf CrB                	Al*	233.67195002 +26.71469278  	 2.19 	 2.22 	 2.24 	 2.21 	 2.25 	A1IV           	 437	   0
44 	HD 156164              	* del Her                	** 	258.75796074 +24.83920697  	 3.29 	 3.21 	 3.13 	 3.08 	 3.05 	A1IVn+G4IV-V   	 170	   0
45 	HD 160032              	* lam Ara                	V* 	265.09927004 -49.41558375  	     ~	 5.17 	 4.77 	     ~	     ~	F4V            	  90	   0
46 	HD 172555              	HD 172555                	PM*	281.36208536 -64.87126105  	     ~	 4.967	 4.767	     ~	     ~	A7V            	 195	   0
47 	HD 180161              	HD 180161                	BY*	288.0473187 +57.6719797    	     ~	 7.83 	 7.04 	 6.5  	 6.1  	G8V            	  68	   0
48 	HD 179930              	CD-46 12902              	** 	289.178812 -45.889353      	12.044	10.817	 9.356	 8.432	 7.478	M0Vk:          	  39	   0
49 	HD 184006              	* iot Cyg                	*  	292.42649467 +51.72977939  	     ~	 3.899	 3.755	     ~	     ~	A5V            	 109	   0
50 	HD 188228              	* eps Pav                	V* 	300.14814824 -72.91050549  	     ~	 3.927	 3.940	     ~	     ~	A0Va           	  96	   0
51 	HD 204961              	HD 204961                	PM*	323.39156386 -49.00900533  	11.359	10.176	 8.672	 7.665	 6.479	M2/3V          	 161	   1
52 	HD 213398              	* bet PsA                	PM*	337.87637660 -32.34607371  	 4.32 	 4.30 	 4.29 	 4.27 	 4.25 	A1Va           	  74	   0
53 	HD 213845              	* ups Aqr                	PM*	338.67348505 -20.70821609  	     ~	 5.64 	 5.20 	     ~	     ~	F7V            	 102	   0
54 	HD 215789              	* eps Gru                	SB*	342.13874302 -51.31686115  	     ~	 3.556	 3.466	     ~	     ~	A2IVn          	 107	   0
55 	HD 218511              	LTT 9379                 	PM*	347.42063023 -67.73282449  	     ~	 9.59 	 8.39 	     ~	     ~	K6V            	  41	   0
56 	HD 219571              	* gam Tuc                	*  	349.35738424 -58.23573020  	 4.35 	 4.37 	 3.98 	 3.57 	 3.33 	F4V            	 138	   0
57 	HD 222368              	* iot Psc                	V* 	354.98767240 +05.62629098  	 4.640	 4.620	 4.120	 3.68 	 3.37 	F7V            	 543	   0
58 	HD 223352              	* del Scl                	** 	357.23144407 -28.13027069  	 4.55 	 4.58 	 4.57 	 4.53 	 4.55 	A0Vnp          	 114	   0
59 	GJ 4063                	GJ 4063                  	BD*	278.6526886 +40.1239978    	     ~	13.15 	11.464	11.104	10.1  	M4V            	  37	   0
60 	2MASS J22480446-2422075	* alf PsA C              	** 	342.01862 -24.36875        	     ~	14.301	12.624	12.216	 9.674	M4.0Ve         	  37	   0
61 	HD 166                 	HD 166                   	BY*	001.6532675 +29.0215033    	     ~	 6.88 	 6.13 	 5.6  	 5.2  	K0V            	 281	   1
62 	HD 17925               	HR 857                   	RS*	043.13386817 -12.76971367  	 7.48 	 6.91 	 6.05 	 5.34 	 4.89 	K1V            	 426	   0
63 	HD 30495               	* 58 Eri                 	BY*	071.90121452 -16.93445593  	     ~	 6.14 	 5.50 	     ~	     ~	G2.5IV-V       	 335	   0
64 	HD 110897              	* 10 CVn                 	PM*	191.2475213 +39.2789158    	 6.47 	 6.50 	 5.95 	 5.41 	 5.12 	F9V_Fe-0.3     	 307	   0
65 	HD 131511              	V* DE Boo                	RS*	223.34902808 +19.15280036  	     ~	 6.84 	 6.01 	 5.5  	 5.1  	K0.5V          	 220	   0
66 	HD 219482              	HD 219482                	PM*	349.24035881 -62.00120078  	     ~	 6.146	 5.647	     ~	     ~	F6V            	  85	   0
67 	HD 71155               	* 30 Mon                 	PM*	126.41513338 -03.90642162  	 3.85 	 3.88 	 3.90 	 3.87 	 3.92 	A0Va           	 240	   0
68 	HD 95418               	* bet UMa                	V* 	165.46031890 +56.38242609  	 2.35 	 2.35 	 2.37 	 2.31 	 2.35 	A1IVps         	 381	   1
69 	HD 102647              	* bet Leo                	dS*	177.26490976 +14.57205806  	 2.30 	 2.22 	 2.13 	 2.08 	 2.06 	A3Va           	 505	   0
70 	HD 109085              	* eta Crv                	V* 	188.01761054 -16.19600458  	     ~	 4.69 	 4.31 	     ~	     ~	F2V            	 237	   0
71 	HD 128167              	* sig Boo                	V* 	218.67007081 +29.74512750  	 4.76 	 4.84 	 4.47 	 4.13 	 3.94 	F4VkF2mF1      	 527	   0
72 	HD 33262               	* zet Dor                	PM*	076.37773654 -57.47270450  	     ~	 5.215	 4.708	     ~	     ~	F9VFe-0.5      	 186	   0
73 	HD 5133                	HD 5133                  	PM*	013.2547288 -30.3569139    	 8.801	 8.11 	 7.171	 6.639	 6.179	K2.5Vk:        	 127	   0
74 	HD 9826                	* ups And                	SB*	024.19934235 +41.40545674  	 4.70 	 4.64 	 4.10 	 3.64 	 3.35 	F9V            	 844	   1
75 	HD 19994               	* 94 Cet                 	** 	048.19348828 -01.19610035  	     ~	 5.631	 5.070	     ~	     ~	F8.5V          	 361	   1
76 	HD 23356               	HD 23356                 	PM*	055.9805954 -19.1108978    	 8.711	 8.012	 7.081	 6.555	 6.098	K2V            	  78	   0
77 	HD 23484               	LTT 1764                 	PM*	056.0382208 -38.2817697    	 8.449	 7.875	 6.996	 6.516	 6.09 	K2V            	  91	   0
78 	HD 40307               	HD 40307                 	*  	088.51766631 -60.02347159  	 8.814	 8.097	 7.147	 6.597	 6.119	K2.5V          	 153	   1
79 	HD 40136               	* eta Lep                	*  	089.10122085 -14.16769969  	 4.05 	 4.05 	 3.72 	 3.39 	 3.23 	F2V            	 297	   0
80 	HD 48682               	* psi05 Aur              	PM*	101.68474242 +43.57742412  	     ~	 5.798	 5.246	 4.9  	 4.7  	F9V            	 206	   0
81 	HD 50692               	* 37 Gem                 	*  	103.82778154 +25.37569870  	     ~	 6.343	 5.748	     ~	     ~	G0V            	 151	   0
82 	HD 72905               	V* pi.01 UMa             	BY*	129.7987692 +65.0209067    	 6.33 	 6.26 	 5.64 	 5.12 	 4.79 	G1.5Vb         	 462	   0
83 	HD 76151               	HD 76151                 	PM*	133.57478356 -05.43446063  	 6.89 	 6.67 	 6.00 	     ~	     ~	G2V            	 423	   0
84 	HD 90839               	* 36 UMa                 	PM*	157.65658364 +55.98053678  	     ~	 5.335	 4.820	 4.5  	 4.3  	F8V            	 273	   0
85 	HD 102438              	HD 102438                	PM*	176.8158654 -30.2865111    	     ~	 7.16 	 6.48 	     ~	     ~	G6V            	 106	   0
86 	HD 115953              	HD 115953                	** 	199.94022068 +47.77804192  	     ~	10.02 	 8.54 	 8.700	     ~	M2V            	 100	   0
87 	HD 117176              	* 70 Vir                 	PM*	202.1075358 +13.7787881    	 5.930	 5.680	 4.970	 4.37 	 3.98 	G4Va           	 629	   1
88 	HD 128165              	HD 128165                	V* 	218.3702825 +52.9087908    	     ~	 8.22 	 7.23 	 6.7  	 6.2  	K3V            	  99	   0
89 	HD 132254              	HD 132254                	PM*	224.0960017 +49.6284500    	     ~	 6.13 	 5.60 	 5.3  	 5.1  	F8-V           	  99	   0
90 	HD 158633              	HD 158633                	PM*	261.2504063 +67.3067078    	     ~	 7.19 	 6.43 	 5.9  	 5.6  	K0V            	 141	   0
91 	HD 199260              	HR 8013                  	V* 	314.19721378 -26.29637653  	     ~	 6.20 	 5.70 	     ~	     ~	F6V            	  82	   0
